tso_period_s,n_inner_configured,group,n_intervals,n_intervals_scored,n_dropped_delta_floor,rho_median,rho_p95,rho_max,n_k_median,n_k_p95,n_k_max,n_k_uncensored_median,n_k_uncensored_p95,n_k_uncensored_max,n_uncensored,censoring_fraction,cair_width_median_mvar,lockout_occupancy_mean,tap_moves_total,tap_moves_per_interval,v_violations,v_violation_fraction,z_slack_max
180.0,9,DSO_2,1116,196,884,0.2376757280651849,3.115147350590283,5.8632182076030075,0.0,9.0,9.0,0.0,1.6999999999999318,8.0,947,0.15143369175627241,92.44798657657321,0.0,0,0.0,0,0.0,0.0
180.0,9,DSO_3,1116,200,880,0.5937323854309382,4.107377213202361,7.347701671785532,0.0,9.0,9.0,0.0,1.0,7.0,887,0.20519713261648745,106.84641329671337,0.0,0,0.0,0,0.0,0.0
180.0,9,DSO_4,1116,131,949,0.16540856704210827,3.5312438461878957,4.480075050538801,0.0,9.0,9.0,0.0,0.0,8.0,987,0.11559139784946236,85.56929533005368,0.0,0,0.0,0,0.0,0.0
180.0,9,__pooled__,4464,761,3559,0.257236902480029,3.5164249523218376,7.347701671785532,0.0,9.0,9.0,0.0,1.0,8.0,3751,0.1597222222222222,93.62106366717677,0.00014934289127837517,1,0.00022401433691756272,0,0.0,0.0
240.0,12,DSO_1,828,221,571,0.2221450904808521,2.8188792914714838,5.647079038693131,0.0,12.0,12.0,0.0,2.0,11.0,691,0.16545893719806765,102.59114615195196,0.0012077294685990338,1,0.0012077294685990338,0,0.0,0.0
240.0,12,DSO_2,828,183,609,0.2048309609517194,2.241110166222099,4.8979017133993485,0.0,12.0,12.0,0.0,2.0,11.0,705,0.14855072463768115,92.51422468510708,0.0,0,0.0,0,0.0,0.0
240.0,12,DSO_3,828,190,602,0.4621614246290146,4.085266549116721,6.374720642566702,0.0,12.0,12.0,0.0,1.0,11.0,651,0.213768115942029,107.4112678234672,0.0,0,0.0,0,0.0,0.0
240.0,12,DSO_4,828,133,659,0.15605673221891034,2.8353147170981168,4.451190500267311,0.0,12.0,12.0,0.0,0.0,11.0,728,0.12077294685990338,85.59704077665796,0.0,0,0.0,0,0.0,0.0
240.0,12,__pooled__,3312,727,2441,0.2221450904808521,2.967703034056559,6.374720642566702,0.0,12.0,12.0,0.0,1.0,11.0,2775,0.1621376811594203,93.79738011356696,0.00030193236714975844,1,0.00030193236714975844,0,0.0,0.0
300.0,15,DSO_1,684,202,446,0.20383460273075432,2.0900032514057623,4.065074705482981,0.0,15.0,15.0,0.0,2.0,14.0,567,0.17105263157894737,102.62724628205112,0.0023391812865497076,0,0.0,0,0.0,0.0
300.0,15,DSO_2,684,181,467,0.16182166733349587,2.4227508261715816,5.691129801780819,0.0,15.0,15.0,0.0,3.0,10.0,576,0.15789473684210525,92.60630561416573,0.0005847953216374269,0,0.0,0,0.0,1.0
300.0,15,DSO_3,684,183,465,0.36504190989294605,3.37084367956561,6.748693415107477,0.0,15.0,15.0,0.0,1.0,13.0,535,0.21783625730994152,107.72229403048291,0.0,0,0.0,0,0.0,0.0
300.0,15,DSO_4,684,129,519,0.11892588357783117,2.297919817103876,3.5064516478647754,0.0,15.0,15.0,0.0,1.0,9.0,604,0.11695906432748537,85.62931800383242,0.0,0,0.0,0,0.0,0.0
300.0,15,__pooled__,2736,695,1897,0.1908886270223377,2.5977357126936758,6.748693415107477,0.0,15.0,15.0,0.0,2.0,14.0,2282,0.16593567251461988,94.36081868403286,0.0007309941520467836,0,0.0,0,0.0,1.0
